epsilon: 0.1 | time_left: 14:55:10 | time_elap: 0:04:24 | ep: 49/10000 | loss: 0.5191 | score_dev: 3.92 | avg_ep_time: 0:00:05 | avg_q: 2.5282 | score_avg: 44.0 | score: 42 | time: 18:29:46 | reward: -74 | 
epsilon: 0.1 | time_left: 14:54:27 | time_elap: 0:04:29 | ep: 50/10000 | loss: 3.5376 | score_dev: 3.89 | avg_ep_time: 0:00:05 | avg_q: 2.3294 | score_avg: 44.0 | score: 42 | time: 18:29:51 | reward: -70 | 
epsilon: 0.1 | time_left: 14:53:44 | time_elap: 0:04:34 | ep: 51/10000 | loss: 3.2105 | score_dev: 3.86 | avg_ep_time: 0:00:05 | avg_q: 2.1503 | score_avg: 44.0 | score: 42 | time: 18:29:56 | reward: -70 | 
epsilon: 0.1 | time_left: 14:53:03 | time_elap: 0:04:40 | ep: 52/10000 | loss: 6.5602 | score_dev: 3.83 | avg_ep_time: 0:00:05 | avg_q: 1.9949 | score_avg: 44.0 | score: 42 | time: 18:30:02 | reward: -70 | 
epsilon: 0.1 | time_left: 14:52:33 | time_elap: 0:04:45 | ep: 53/10000 | loss: 3.4510 | score_dev: 3.8 | avg_ep_time: 0:00:05 | avg_q: 1.8896 | score_avg: 44.0 | score: 42 | time: 18:30:07 | reward: -70 | 
epsilon: 0.1 | time_left: 14:51:54 | time_elap: 0:04:50 | ep: 54/10000 | loss: 3.5487 | score_dev: 3.78 | avg_ep_time: 0:00:05 | avg_q: 1.8237 | score_avg: 44.0 | score: 42 | time: 18:30:12 | reward: -72 | 
epsilon: 0.1 | time_left: 14:51:15 | time_elap: 0:04:55 | ep: 55/10000 | loss: 0.4297 | score_dev: 3.75 | avg_ep_time: 0:00:05 | avg_q: 1.8099 | score_avg: 44.0 | score: 42 | time: 18:30:17 | reward: -72 | 
epsilon: 0.1 | time_left: 14:50:41 | time_elap: 0:05:00 | ep: 56/10000 | loss: 0.4250 | score_dev: 3.72 | avg_ep_time: 0:00:05 | avg_q: 1.8470 | score_avg: 44.0 | score: 42 | time: 18:30:23 | reward: -70 | 
epsilon: 0.1 | time_left: 14:50:06 | time_elap: 0:05:06 | ep: 57/10000 | loss: 3.5703 | score_dev: 3.7 | avg_ep_time: 0:00:05 | avg_q: 1.9163 | score_avg: 44.0 | score: 42 | time: 18:30:28 | reward: -76 | 
epsilon: 0.1 | time_left: 14:49:39 | time_elap: 0:05:11 | ep: 58/10000 | loss: 0.3075 | score_dev: 3.67 | avg_ep_time: 0:00:05 | avg_q: 2.0176 | score_avg: 44.0 | score: 42 | time: 18:30:33 | reward: -74 | 
epsilon: 0.1 | time_left: 14:49:10 | time_elap: 0:05:16 | ep: 59/10000 | loss: 6.6123 | score_dev: 3.65 | avg_ep_time: 0:00:05 | avg_q: 2.1268 | score_avg: 44.0 | score: 42 | time: 18:30:38 | reward: -78 | 
epsilon: 0.1 | time_left: 14:48:37 | time_elap: 0:05:21 | ep: 60/10000 | loss: 0.1632 | score_dev: 3.62 | avg_ep_time: 0:00:05 | avg_q: 2.2406 | score_avg: 44.0 | score: 42 | time: 18:30:43 | reward: -72 | 
epsilon: 0.1 | time_left: 14:48:11 | time_elap: 0:05:27 | ep: 61/10000 | loss: 0.8767 | score_dev: 3.6 | avg_ep_time: 0:00:05 | avg_q: 2.4782 | score_avg: 44.0 | score: 42 | time: 18:30:49 | reward: -74 | 
epsilon: 0.1 | time_left: 14:47:44 | time_elap: 0:05:32 | ep: 62/10000 | loss: 3.8349 | score_dev: 3.58 | avg_ep_time: 0:00:05 | avg_q: 2.8109 | score_avg: 44.0 | score: 42 | time: 18:30:54 | reward: -72 | 
