epsilon: 0.1 | time_left: 14:30:44 | time_elap: 0:03:50 | ep: 44/10000 | loss: 6.7108 | score_dev: 4.35 | avg_ep_time: 0:00:05 | avg_q: 2.4572 | score_avg: 44.0 | score: 42 | time: 15:57:22 | reward: -74 | 
epsilon: 0.1 | time_left: 14:30:04 | time_elap: 0:03:55 | ep: 45/10000 | loss: 6.7216 | score_dev: 4.31 | avg_ep_time: 0:00:05 | avg_q: 3.2958 | score_avg: 44.0 | score: 42 | time: 15:57:27 | reward: -72 | 
epsilon: 0.1 | time_left: 14:29:29 | time_elap: 0:04:01 | ep: 46/10000 | loss: 10.0416 | score_dev: 4.27 | avg_ep_time: 0:00:05 | avg_q: 2.1376 | score_avg: 44.0 | score: 42 | time: 15:57:32 | reward: -74 | 
epsilon: 0.1 | time_left: 14:29:01 | time_elap: 0:04:06 | ep: 47/10000 | loss: 3.8920 | score_dev: 4.23 | avg_ep_time: 0:00:05 | avg_q: 3.1153 | score_avg: 43.0 | score: 42 | time: 15:57:37 | reward: -74 | 
epsilon: 0.1 | time_left: 14:28:32 | time_elap: 0:04:11 | ep: 48/10000 | loss: 3.5026 | score_dev: 4.19 | avg_ep_time: 0:00:05 | avg_q: 2.5487 | score_avg: 43.0 | score: 42 | time: 15:57:42 | reward: -74 | 
epsilon: 0.1 | time_left: 14:28:04 | time_elap: 0:04:16 | ep: 49/10000 | loss: 3.5588 | score_dev: 4.15 | avg_ep_time: 0:00:05 | avg_q: 3.0201 | score_avg: 43.0 | score: 42 | time: 15:57:47 | reward: -74 | 
epsilon: 0.1 | time_left: 14:27:36 | time_elap: 0:04:21 | ep: 50/10000 | loss: 0.1594 | score_dev: 4.11 | avg_ep_time: 0:00:05 | avg_q: 2.6757 | score_avg: 43.0 | score: 42 | time: 15:57:52 | reward: -72 | 
epsilon: 0.1 | time_left: 14:27:05 | time_elap: 0:04:26 | ep: 51/10000 | loss: 6.5649 | score_dev: 4.07 | avg_ep_time: 0:00:05 | avg_q: 2.9459 | score_avg: 43.0 | score: 42 | time: 15:57:57 | reward: -76 | 
epsilon: 0.1 | time_left: 14:26:37 | time_elap: 0:04:31 | ep: 52/10000 | loss: 3.3699 | score_dev: 4.04 | avg_ep_time: 0:00:05 | avg_q: 2.8332 | score_avg: 43.0 | score: 42 | time: 15:58:03 | reward: -74 | 
epsilon: 0.1 | time_left: 14:26:13 | time_elap: 0:04:36 | ep: 53/10000 | loss: 3.3394 | score_dev: 4.0 | avg_ep_time: 0:00:05 | avg_q: 2.8857 | score_avg: 43.0 | score: 42 | time: 15:58:08 | reward: -70 | 
