loss: 2.4807 | epoch: 56/20000 | score: 61 | time left: 1 day, 8:11:46 | avg_q: 46.7995 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:05:31 | 
loss: 7.2719 | epoch: 57/20000 | score: 41 | time left: 1 day, 8:05:53 | avg_q: 48.9319 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:05 | time elapsed: 0:05:36 | 
loss: 5.7071 | epoch: 58/20000 | score: 41 | time left: 1 day, 8:00:46 | avg_q: 55.5662 | epsilon: 1.0 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:05:40 | 
loss: 2.5065 | epoch: 59/20000 | score: 42 | time left: 1 day, 7:55:51 | avg_q: 68.7024 | epsilon: 1.0 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:05:45 | 
loss: 5.6012 | epoch: 60/20000 | score: 95 | time left: 1 day, 8:20:37 | avg_q: 63.6586 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:05:56 | 
loss: 6.1628 | epoch: 61/20000 | score: 41 | time left: 1 day, 8:16:17 | avg_q: 72.5665 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:05 | time elapsed: 0:06:01 | 
loss: 5.6689 | epoch: 62/20000 | score: 42 | time left: 1 day, 8:11:29 | avg_q: 64.0403 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:05 | time elapsed: 0:06:06 | 
loss: 8.8509 | epoch: 63/20000 | score: 42 | time left: 1 day, 8:06:40 | avg_q: 49.0438 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:06:11 | 
loss: 9.6702 | epoch: 64/20000 | score: 41 | time left: 1 day, 8:01:26 | avg_q: 46.6977 | epsilon: 1.0 | reward: -101 | avg time per epoch: 0:00:05 | time elapsed: 0:06:15 | 
loss: 4.1847 | epoch: 65/20000 | score: 50 | time left: 1 day, 8:01:34 | avg_q: 34.8351 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:06:21 | 
loss: 1.2025 | epoch: 66/20000 | score: 42 | time left: 1 day, 7:57:12 | avg_q: 40.3633 | epsilon: 1.0 | reward: -106 | avg time per epoch: 0:00:05 | time elapsed: 0:06:26 | 
loss: 1.6839 | epoch: 67/20000 | score: 59 | time left: 1 day, 8:01:33 | avg_q: 49.6953 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:06:33 | 
loss: 9.5527 | epoch: 68/20000 | score: 86 | time left: 1 day, 8:19:33 | avg_q: 48.9947 | epsilon: 1.0 | reward: -101 | avg time per epoch: 0:00:05 | time elapsed: 0:06:42 | 
loss: 1.9297 | epoch: 69/20000 | score: 81 | time left: 1 day, 8:34:17 | avg_q: 52.9842 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:05 | time elapsed: 0:06:51 | 
loss: 9.2796 | epoch: 70/20000 | score: 42 | time left: 1 day, 8:29:37 | avg_q: 53.4611 | epsilon: 1.0 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:06:56 | 
loss: 4.4651 | epoch: 71/20000 | score: 54 | time left: 1 day, 8:31:22 | avg_q: 51.2492 | epsilon: 1.0 | reward: -106 | avg time per epoch: 0:00:05 | time elapsed: 0:07:03 | 
loss: 7.1255 | epoch: 72/20000 | score: 41 | time left: 1 day, 8:26:41 | avg_q: 52.3846 | epsilon: 1.0 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:07:07 | 
loss: 4.5861 | epoch: 73/20000 | score: 59 | time left: 1 day, 8:30:33 | avg_q: 63.5845 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:07:14 | 
loss: 2.3142 | epoch: 74/20000 | score: 66 | time left: 1 day, 8:37:27 | avg_q: 64.0602 | epsilon: 1.0 | reward: -101 | avg time per epoch: 0:00:05 | time elapsed: 0:07:22 | 
loss: 2.8761 | epoch: 75/20000 | score: 42 | time left: 1 day, 8:33:03 | avg_q: 70.8720 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:07:26 | 
loss: 5.6605 | epoch: 76/20000 | score: 52 | time left: 1 day, 8:33:25 | avg_q: 60.2766 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:07:32 | 
loss: 4.7966 | epoch: 77/20000 | score: 50 | time left: 1 day, 8:32:24 | avg_q: 68.1778 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:05 | time elapsed: 0:07:38 | 
loss: 13.6665 | epoch: 78/20000 | score: 79 | time left: 1 day, 8:44:31 | avg_q: 68.5454 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:07:47 | 
loss: 5.5661 | epoch: 79/20000 | score: 55 | time left: 1 day, 8:45:50 | avg_q: 62.9913 | epsilon: 1.0 | reward: -95 | avg time per epoch: 0:00:05 | time elapsed: 0:07:53 | 
loss: 2.5517 | epoch: 80/20000 | score: 95 | time left: 1 day, 9:04:17 | avg_q: 78.3798 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:05 | time elapsed: 0:08:04 | 
loss: 11.6794 | epoch: 81/20000 | score: 42 | time left: 1 day, 9:00:18 | avg_q: 104.7818 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:05 | time elapsed: 0:08:09 | 
loss: 10.8295 | epoch: 82/20000 | score: 42 | time left: 1 day, 8:56:01 | avg_q: 88.2985 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:08:14 | 
loss: 2.2491 | epoch: 83/20000 | score: 42 | time left: 1 day, 8:51:36 | avg_q: 93.9232 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:05 | time elapsed: 0:08:18 | 
loss: 6.2381 | epoch: 84/20000 | score: 51 | time left: 1 day, 8:51:05 | avg_q: 77.1026 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:08:24 | 
loss: 8.8136 | epoch: 85/20000 | score: 41 | time left: 1 day, 8:47:12 | avg_q: 83.7971 | epsilon: 1.0 | reward: -108 | avg time per epoch: 0:00:05 | time elapsed: 0:08:29 | 
loss: 2.9366 | epoch: 86/20000 | score: 41 | time left: 1 day, 8:43:16 | avg_q: 106.8649 | epsilon: 1.0 | reward: -96 | avg time per epoch: 0:00:05 | time elapsed: 0:08:34 | 
loss: 3.4991 | epoch: 87/20000 | score: 41 | time left: 1 day, 8:39:29 | avg_q: 131.6544 | epsilon: 1.0 | reward: -84 | avg time per epoch: 0:00:05 | time elapsed: 0:08:39 | 
loss: 8.4523 | epoch: 88/20000 | score: 42 | time left: 1 day, 8:35:40 | avg_q: 114.1115 | epsilon: 1.0 | reward: -96 | avg time per epoch: 0:00:05 | time elapsed: 0:08:44 | 
loss: 7.2973 | epoch: 89/20000 | score: 41 | time left: 1 day, 8:31:51 | avg_q: 126.2228 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:08:49 | 
loss: 12.9134 | epoch: 90/20000 | score: 42 | time left: 1 day, 8:28:18 | avg_q: 106.0876 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:08:54 | 
loss: 3.3850 | epoch: 91/20000 | score: 42 | time left: 1 day, 8:24:43 | avg_q: 106.2738 | epsilon: 1.0 | reward: -106 | avg time per epoch: 0:00:05 | time elapsed: 0:08:59 | 
loss: 3.0078 | epoch: 92/20000 | score: 42 | time left: 1 day, 8:21:10 | avg_q: 120.6362 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:09:04 | 
loss: 11.2722 | epoch: 93/20000 | score: 41 | time left: 1 day, 8:17:36 | avg_q: 123.3637 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:09:08 | 
loss: 7.3379 | epoch: 94/20000 | score: 42 | time left: 1 day, 8:14:17 | avg_q: 107.2380 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:09:13 | 
loss: 14.6411 | epoch: 95/20000 | score: 58 | time left: 1 day, 8:16:33 | avg_q: 95.8723 | epsilon: 1.0 | reward: -107 | avg time per epoch: 0:00:05 | time elapsed: 0:09:20 | 
loss: 5.8659 | epoch: 96/20000 | score: 42 | time left: 1 day, 8:13:17 | avg_q: 85.2814 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:05 | time elapsed: 0:09:25 | 
loss: 5.6250 | epoch: 97/20000 | score: 41 | time left: 1 day, 8:10:05 | avg_q: 87.3064 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:09:30 | 
loss: 8.3248 | epoch: 98/20000 | score: 53 | time left: 1 day, 8:11:05 | avg_q: 84.6216 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:09:36 | 
loss: 5.2415 | epoch: 99/20000 | score: 42 | time left: 1 day, 8:08:16 | avg_q: 80.9261 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:05 | time elapsed: 0:09:41 | 
loss: 2.6972 | epoch: 100/20000 | score: 42 | time left: 1 day, 8:05:14 | avg_q: 98.5637 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:05 | time elapsed: 0:09:46 | 
loss: 2.9827 | epoch: 101/20000 | score: 41 | time left: 1 day, 8:02:57 | avg_q: 107.8847 | epsilon: 1.0 | reward: -106 | avg time per epoch: 0:00:05 | time elapsed: 0:09:51 | 
