loss: 0.4734 | epoch: 40/50000 | score: 42 | time left: 3 days, 12:22:01 | avg_q: -12.3294 | epsilon: 0.99 | reward: -108 | avg time per epoch: 0:00:06 | time elapsed: 0:04:09 | 
loss: 2.9239 | epoch: 41/50000 | score: 50 | time left: 3 days, 12:15:01 | avg_q: -17.3501 | epsilon: 0.99 | reward: -118 | avg time per epoch: 0:00:06 | time elapsed: 0:04:14 | 
loss: 1.4898 | epoch: 42/50000 | score: 78 | time left: 3 days, 13:05:31 | avg_q: -18.3502 | epsilon: 0.99 | reward: -127 | avg time per epoch: 0:00:06 | time elapsed: 0:04:23 | 
loss: 1.5059 | epoch: 43/50000 | score: 42 | time left: 3 days, 12:42:57 | avg_q: -20.9874 | epsilon: 0.99 | reward: -108 | avg time per epoch: 0:00:06 | time elapsed: 0:04:28 | 
loss: 2.6756 | epoch: 44/50000 | score: 56 | time left: 3 days, 12:46:42 | avg_q: -20.7427 | epsilon: 0.98 | reward: -116 | avg time per epoch: 0:00:06 | time elapsed: 0:04:34 | 
loss: 1.4568 | epoch: 45/50000 | score: 54 | time left: 3 days, 12:48:59 | avg_q: -16.5677 | epsilon: 0.98 | reward: -118 | avg time per epoch: 0:00:06 | time elapsed: 0:04:41 | 
loss: 0.2621 | epoch: 46/50000 | score: 42 | time left: 3 days, 12:26:15 | avg_q: -19.9163 | epsilon: 0.98 | reward: -111 | avg time per epoch: 0:00:06 | time elapsed: 0:04:46 | 
loss: 0.2659 | epoch: 47/50000 | score: 42 | time left: 3 days, 12:06:43 | avg_q: -22.8139 | epsilon: 0.98 | reward: -113 | avg time per epoch: 0:00:06 | time elapsed: 0:04:50 | 
loss: 1.4534 | epoch: 48/50000 | score: 42 | time left: 3 days, 11:47:52 | avg_q: -31.7821 | epsilon: 0.98 | reward: -110 | avg time per epoch: 0:00:06 | time elapsed: 0:04:55 | 
loss: 1.3351 | epoch: 49/50000 | score: 51 | time left: 3 days, 11:45:02 | avg_q: -23.6029 | epsilon: 0.98 | reward: -116 | avg time per epoch: 0:00:06 | time elapsed: 0:05:01 | 
loss: 2.6885 | epoch: 50/50000 | score: 42 | time left: 3 days, 11:26:07 | avg_q: -25.0783 | epsilon: 0.98 | reward: -111 | avg time per epoch: 0:00:06 | time elapsed: 0:05:06 | 
