loss: 3.5722 | epoch: 46/20000 | score: 51 | time left: 1 day, 8:17:05 | avg_q: 79.2698 | epsilon: 1.0 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:04:33 | 
loss: 3.7889 | epoch: 47/20000 | score: 63 | time left: 1 day, 8:26:24 | avg_q: 66.9460 | epsilon: 1.0 | reward: -83 | avg time per epoch: 0:00:05 | time elapsed: 0:04:40 | 
loss: 3.3091 | epoch: 48/20000 | score: 54 | time left: 1 day, 8:29:14 | avg_q: 66.3116 | epsilon: 1.0 | reward: -81 | avg time per epoch: 0:00:05 | time elapsed: 0:04:47 | 
loss: 10.4440 | epoch: 49/20000 | score: 41 | time left: 1 day, 8:22:02 | avg_q: 45.4132 | epsilon: 1.0 | reward: -85 | avg time per epoch: 0:00:05 | time elapsed: 0:04:52 | 
loss: 4.2816 | epoch: 50/20000 | score: 42 | time left: 1 day, 8:16:03 | avg_q: 45.0434 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:04:56 | 
loss: 6.2034 | epoch: 51/20000 | score: 41 | time left: 1 day, 8:10:20 | avg_q: 49.7289 | epsilon: 1.0 | reward: -93 | avg time per epoch: 0:00:05 | time elapsed: 0:05:01 | 
loss: 4.0730 | epoch: 52/20000 | score: 50 | time left: 1 day, 8:10:25 | avg_q: 39.5098 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:05:07 | 
loss: 1.5781 | epoch: 53/20000 | score: 42 | time left: 1 day, 8:04:52 | avg_q: 42.7135 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:05:12 | 
loss: 6.7386 | epoch: 54/20000 | score: 41 | time left: 1 day, 7:59:27 | avg_q: 50.8096 | epsilon: 1.0 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:05:17 | 
loss: 8.2437 | epoch: 55/20000 | score: 43 | time left: 1 day, 7:54:30 | avg_q: 60.8362 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:05:22 | 
loss: 2.6473 | epoch: 56/20000 | score: 42 | time left: 1 day, 7:49:28 | avg_q: 76.8680 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:05 | time elapsed: 0:05:27 | 
