epsilon: 0.1 | time_left: 1 day, 19:01:41 | time_elap: 0:04:28 | ep: 52/30000 | loss: 6.4662 | score_dev: 5.94 | avg_ep_time: 0:00:05 | avg_q: 2.2829 | score_avg: 44.0 | score: 41 | time: 13:06:07 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:38:17 | time_elap: 0:04:38 | ep: 53/30000 | loss: 9.6409 | score_dev: 7.8 | avg_ep_time: 0:00:05 | avg_q: 2.1360 | score_avg: 44.0 | score: 81 | time: 13:06:16 | reward: -43 | 
epsilon: 0.1 | time_left: 1 day, 19:34:05 | time_elap: 0:04:42 | ep: 54/30000 | loss: 3.3579 | score_dev: 7.74 | avg_ep_time: 0:00:05 | avg_q: 2.2739 | score_avg: 44.0 | score: 41 | time: 13:06:20 | reward: -80 | 
epsilon: 0.1 | time_left: 1 day, 19:29:54 | time_elap: 0:04:47 | ep: 55/30000 | loss: 3.3178 | score_dev: 7.68 | avg_ep_time: 0:00:05 | avg_q: 2.3388 | score_avg: 44.0 | score: 41 | time: 13:06:25 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:25:50 | time_elap: 0:04:52 | ep: 56/30000 | loss: 6.4367 | score_dev: 7.63 | avg_ep_time: 0:00:05 | avg_q: 2.1027 | score_avg: 44.0 | score: 41 | time: 13:06:30 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 19:22:45 | time_elap: 0:04:57 | ep: 57/30000 | loss: 9.6669 | score_dev: 7.57 | avg_ep_time: 0:00:05 | avg_q: 2.5152 | score_avg: 44.0 | score: 41 | time: 13:06:35 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 19:18:54 | time_elap: 0:05:02 | ep: 58/30000 | loss: 6.4615 | score_dev: 7.51 | avg_ep_time: 0:00:05 | avg_q: 1.9417 | score_avg: 44.0 | score: 41 | time: 13:06:40 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 19:15:32 | time_elap: 0:05:06 | ep: 59/30000 | loss: 6.7567 | score_dev: 7.46 | avg_ep_time: 0:00:05 | avg_q: 2.9878 | score_avg: 44.0 | score: 41 | time: 13:06:44 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 19:12:03 | time_elap: 0:05:11 | ep: 60/30000 | loss: 6.9229 | score_dev: 7.41 | avg_ep_time: 0:00:05 | avg_q: 1.7853 | score_avg: 44.0 | score: 41 | time: 13:06:49 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 19:08:49 | time_elap: 0:05:16 | ep: 61/30000 | loss: 10.2310 | score_dev: 7.35 | avg_ep_time: 0:00:05 | avg_q: 2.7503 | score_avg: 44.0 | score: 41 | time: 13:06:54 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 19:07:48 | time_elap: 0:05:21 | ep: 62/30000 | loss: 9.6312 | score_dev: 7.3 | avg_ep_time: 0:00:05 | avg_q: 2.3249 | score_avg: 44.0 | score: 41 | time: 13:06:59 | reward: -77 | 
epsilon: 0.1 | time_left: 1 day, 19:05:21 | time_elap: 0:05:26 | ep: 63/30000 | loss: 9.6606 | score_dev: 7.25 | avg_ep_time: 0:00:05 | avg_q: 2.9052 | score_avg: 44.0 | score: 41 | time: 13:07:04 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 19:02:51 | time_elap: 0:05:31 | ep: 64/30000 | loss: 0.3488 | score_dev: 7.2 | avg_ep_time: 0:00:05 | avg_q: 2.1842 | score_avg: 44.0 | score: 41 | time: 13:07:09 | reward: -75 | 
epsilon: 0.1 | time_left: 1 day, 18:59:51 | time_elap: 0:05:36 | ep: 65/30000 | loss: 9.7451 | score_dev: 7.16 | avg_ep_time: 0:00:05 | avg_q: 2.9792 | score_avg: 44.0 | score: 41 | time: 13:07:14 | reward: -76 | 
epsilon: 0.1 | time_left: 1 day, 18:57:27 | time_elap: 0:05:40 | ep: 66/30000 | loss: 6.7804 | score_dev: 7.11 | avg_ep_time: 0:00:05 | avg_q: 1.9103 | score_avg: 44.0 | score: 41 | time: 13:07:19 | reward: -79 | 
epsilon: 0.1 | time_left: 1 day, 18:54:40 | time_elap: 0:05:45 | ep: 67/30000 | loss: 3.7923 | score_dev: 7.06 | avg_ep_time: 0:00:05 | avg_q: 2.8032 | score_avg: 44.0 | score: 41 | time: 13:07:23 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 18:53:07 | time_elap: 0:05:50 | ep: 68/30000 | loss: 6.6113 | score_dev: 7.01 | avg_ep_time: 0:00:05 | avg_q: 2.0587 | score_avg: 44.0 | score: 43 | time: 13:07:28 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 19:00:10 | time_elap: 0:05:56 | ep: 69/30000 | loss: 3.6743 | score_dev: 7.07 | avg_ep_time: 0:00:05 | avg_q: 2.8027 | score_avg: 44.0 | score: 54 | time: 13:07:35 | reward: -64 | 
epsilon: 0.1 | time_left: 1 day, 18:58:09 | time_elap: 0:06:01 | ep: 70/30000 | loss: 0.2663 | score_dev: 7.02 | avg_ep_time: 0:00:05 | avg_q: 2.2964 | score_avg: 44.0 | score: 42 | time: 13:07:39 | reward: -77 | 
epsilon: 0.1 | time_left: 1 day, 18:55:26 | time_elap: 0:06:06 | ep: 71/30000 | loss: 6.6938 | score_dev: 6.98 | avg_ep_time: 0:00:05 | avg_q: 2.7995 | score_avg: 44.0 | score: 41 | time: 13:07:44 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 18:52:54 | time_elap: 0:06:11 | ep: 72/30000 | loss: 0.2771 | score_dev: 6.94 | avg_ep_time: 0:00:05 | avg_q: 2.2945 | score_avg: 44.0 | score: 41 | time: 13:07:49 | reward: -80 | 
epsilon: 0.1 | time_left: 1 day, 18:50:11 | time_elap: 0:06:16 | ep: 73/30000 | loss: 6.5130 | score_dev: 6.89 | avg_ep_time: 0:00:05 | avg_q: 2.6277 | score_avg: 44.0 | score: 41 | time: 13:07:54 | reward: -82 | 
epsilon: 0.1 | time_left: 1 day, 18:48:11 | time_elap: 0:06:21 | ep: 74/30000 | loss: 6.4112 | score_dev: 6.85 | avg_ep_time: 0:00:05 | avg_q: 2.6545 | score_avg: 44.0 | score: 41 | time: 13:07:59 | reward: -74 | 
epsilon: 0.1 | time_left: 1 day, 18:46:02 | time_elap: 0:06:25 | ep: 75/30000 | loss: 6.3566 | score_dev: 6.81 | avg_ep_time: 0:00:05 | avg_q: 2.4470 | score_avg: 44.0 | score: 41 | time: 13:08:03 | reward: -81 | 
epsilon: 0.1 | time_left: 1 day, 18:43:39 | time_elap: 0:06:30 | ep: 76/30000 | loss: 6.3528 | score_dev: 6.78 | avg_ep_time: 0:00:05 | avg_q: 2.8143 | score_avg: 44.0 | score: 41 | time: 13:08:08 | reward: -80 | 
epsilon: 0.1 | time_left: 1 day, 18:41:36 | time_elap: 0:06:35 | ep: 77/30000 | loss: 3.3872 | score_dev: 6.74 | avg_ep_time: 0:00:05 | avg_q: 2.3580 | score_avg: 44.0 | score: 41 | time: 13:08:13 | reward: -78 | 
epsilon: 0.1 | time_left: 1 day, 18:53:19 | time_elap: 0:06:42 | ep: 78/30000 | loss: 6.7875 | score_dev: 6.98 | avg_ep_time: 0:00:05 | avg_q: 3.0880 | score_avg: 44.0 | score: 61 | time: 13:08:20 | reward: -62 | 
