loss: 9.7817 | epoch: 65/30000 | score: 42 | time left: 1 day, 22:57:02 | avg_q: 4.4306 | epsilon: 0.98 | reward: -135 | avg time per epoch: 0:00:05 | time elapsed: 0:06:06 | 
loss: 13.0915 | epoch: 66/30000 | score: 41 | time left: 1 day, 22:50:32 | avg_q: 4.2717 | epsilon: 0.98 | reward: -142 | avg time per epoch: 0:00:05 | time elapsed: 0:06:11 | 
loss: 3.8471 | epoch: 67/30000 | score: 58 | time left: 1 day, 22:57:49 | avg_q: 4.4521 | epsilon: 0.98 | reward: -182 | avg time per epoch: 0:00:05 | time elapsed: 0:06:18 | 
loss: 12.9643 | epoch: 68/30000 | score: 54 | time left: 1 day, 23:01:57 | avg_q: 4.5635 | epsilon: 0.98 | reward: -170 | avg time per epoch: 0:00:05 | time elapsed: 0:06:24 | 
loss: 12.8687 | epoch: 69/30000 | score: 49 | time left: 1 day, 23:02:15 | avg_q: 4.2973 | epsilon: 0.98 | reward: -153 | avg time per epoch: 0:00:05 | time elapsed: 0:06:30 | 
loss: 6.8181 | epoch: 70/30000 | score: 41 | time left: 1 day, 22:56:14 | avg_q: 4.4946 | epsilon: 0.98 | reward: -140 | avg time per epoch: 0:00:05 | time elapsed: 0:06:35 | 
loss: 4.2621 | epoch: 71/30000 | score: 42 | time left: 1 day, 22:51:08 | avg_q: 5.7008 | epsilon: 0.98 | reward: -147 | avg time per epoch: 0:00:05 | time elapsed: 0:06:40 | 
loss: 10.3155 | epoch: 72/30000 | score: 42 | time left: 1 day, 22:47:38 | avg_q: 4.8163 | epsilon: 0.98 | reward: -139 | avg time per epoch: 0:00:05 | time elapsed: 0:06:45 | 
loss: 10.2570 | epoch: 73/30000 | score: 41 | time left: 1 day, 22:42:01 | avg_q: 5.1100 | epsilon: 0.98 | reward: -130 | avg time per epoch: 0:00:05 | time elapsed: 0:06:50 | 
loss: 6.9486 | epoch: 74/30000 | score: 61 | time left: 1 day, 22:50:32 | avg_q: 5.8152 | epsilon: 0.98 | reward: -161 | avg time per epoch: 0:00:05 | time elapsed: 0:06:56 | 
loss: 22.9304 | epoch: 75/30000 | score: 41 | time left: 1 day, 22:45:01 | avg_q: 5.1622 | epsilon: 0.98 | reward: -126 | avg time per epoch: 0:00:05 | time elapsed: 0:07:01 | 
loss: 3.5216 | epoch: 76/30000 | score: 52 | time left: 1 day, 22:47:20 | avg_q: 5.3645 | epsilon: 0.98 | reward: -170 | avg time per epoch: 0:00:05 | time elapsed: 0:07:07 | 
loss: 22.9734 | epoch: 77/30000 | score: 42 | time left: 1 day, 22:42:34 | avg_q: 5.0923 | epsilon: 0.98 | reward: -143 | avg time per epoch: 0:00:05 | time elapsed: 0:07:12 | 
loss: 10.0718 | epoch: 78/30000 | score: 51 | time left: 1 day, 22:44:15 | avg_q: 4.9670 | epsilon: 0.98 | reward: -167 | avg time per epoch: 0:00:05 | time elapsed: 0:07:18 | 
loss: 13.1097 | epoch: 79/30000 | score: 41 | time left: 1 day, 22:39:04 | avg_q: 5.4559 | epsilon: 0.98 | reward: -140 | avg time per epoch: 0:00:05 | time elapsed: 0:07:23 | 
loss: 16.5782 | epoch: 80/30000 | score: 62 | time left: 1 day, 22:47:39 | avg_q: 5.0961 | epsilon: 0.98 | reward: -198 | avg time per epoch: 0:00:05 | time elapsed: 0:07:30 | 
loss: 20.2141 | epoch: 81/30000 | score: 42 | time left: 1 day, 22:43:31 | avg_q: 5.8441 | epsilon: 0.98 | reward: -133 | avg time per epoch: 0:00:05 | time elapsed: 0:07:35 | 
loss: 13.7861 | epoch: 82/30000 | score: 42 | time left: 1 day, 22:40:34 | avg_q: 5.8807 | epsilon: 0.98 | reward: -141 | avg time per epoch: 0:00:05 | time elapsed: 0:07:40 | 
loss: 10.2085 | epoch: 83/30000 | score: 51 | time left: 1 day, 22:42:19 | avg_q: 6.0669 | epsilon: 0.98 | reward: -175 | avg time per epoch: 0:00:05 | time elapsed: 0:07:46 | 
loss: 19.8706 | epoch: 84/30000 | score: 51 | time left: 1 day, 22:43:24 | avg_q: 5.6600 | epsilon: 0.98 | reward: -138 | avg time per epoch: 0:00:05 | time elapsed: 0:07:52 | 
loss: 19.8953 | epoch: 85/30000 | score: 47 | time left: 1 day, 22:42:44 | avg_q: 5.6231 | epsilon: 0.98 | reward: -141 | avg time per epoch: 0:00:05 | time elapsed: 0:07:57 | 
loss: 16.8039 | epoch: 86/30000 | score: 41 | time left: 1 day, 22:38:03 | avg_q: 5.7724 | epsilon: 0.98 | reward: -148 | avg time per epoch: 0:00:05 | time elapsed: 0:08:02 | 
loss: 10.2470 | epoch: 87/30000 | score: 41 | time left: 1 day, 22:33:28 | avg_q: 5.7435 | epsilon: 0.97 | reward: -122 | avg time per epoch: 0:00:05 | time elapsed: 0:08:07 | 
loss: 10.1860 | epoch: 88/30000 | score: 42 | time left: 1 day, 22:29:23 | avg_q: 5.9888 | epsilon: 0.97 | reward: -139 | avg time per epoch: 0:00:05 | time elapsed: 0:08:12 | 
loss: 10.3306 | epoch: 89/30000 | score: 53 | time left: 1 day, 22:32:10 | avg_q: 5.3209 | epsilon: 0.97 | reward: -167 | avg time per epoch: 0:00:05 | time elapsed: 0:08:18 | 
loss: 10.2715 | epoch: 90/30000 | score: 55 | time left: 1 day, 22:36:01 | avg_q: 5.9397 | epsilon: 0.97 | reward: -168 | avg time per epoch: 0:00:05 | time elapsed: 0:08:24 | 
loss: 10.5049 | epoch: 91/30000 | score: 41 | time left: 1 day, 22:32:23 | avg_q: 6.5042 | epsilon: 0.97 | reward: -125 | avg time per epoch: 0:00:05 | time elapsed: 0:08:29 | 
loss: 16.7281 | epoch: 92/30000 | score: 42 | time left: 1 day, 22:29:40 | avg_q: 6.6416 | epsilon: 0.97 | reward: -143 | avg time per epoch: 0:00:05 | time elapsed: 0:08:34 | 
