loss: No train | epoch: 1/20000 | score: 51 | time left: 23:49:02 | avg_q: 0.0182 | epsilon: 1.0 | reward: -89 | avg time per epoch: 0:00:04 | time elapsed: 0:00:04 | 
loss: 7.2599 | epoch: 90/20000 | score: 42 | time left: 1 day, 8:37:18 | avg_q: 6.8998 | epsilon: 0.96 | reward: -90 | avg time per epoch: 0:00:05 | time elapsed: 0:08:50 | 
loss: 20.6294 | epoch: 91/20000 | score: 42 | time left: 1 day, 8:33:45 | avg_q: 7.3772 | epsilon: 0.96 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:08:55 | 
loss: 7.4733 | epoch: 92/20000 | score: 42 | time left: 1 day, 8:30:16 | avg_q: 8.0737 | epsilon: 0.96 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:09:00 | 
loss: 3.9419 | epoch: 93/20000 | score: 52 | time left: 1 day, 8:30:33 | avg_q: 7.4804 | epsilon: 0.95 | reward: -79 | avg time per epoch: 0:00:05 | time elapsed: 0:09:06 | 
loss: 3.8883 | epoch: 94/20000 | score: 51 | time left: 1 day, 8:30:24 | avg_q: 8.1399 | epsilon: 0.95 | reward: -86 | avg time per epoch: 0:00:05 | time elapsed: 0:09:12 | 
loss: 13.8294 | epoch: 95/20000 | score: 66 | time left: 1 day, 8:35:35 | avg_q: 6.9921 | epsilon: 0.95 | reward: -83 | avg time per epoch: 0:00:05 | time elapsed: 0:09:19 | 
loss: 10.7539 | epoch: 96/20000 | score: 42 | time left: 1 day, 8:32:14 | avg_q: 8.1566 | epsilon: 0.95 | reward: -92 | avg time per epoch: 0:00:05 | time elapsed: 0:09:24 | 
loss: 17.0992 | epoch: 97/20000 | score: 58 | time left: 1 day, 8:34:33 | avg_q: 7.7367 | epsilon: 0.95 | reward: -88 | avg time per epoch: 0:00:05 | time elapsed: 0:09:31 | 
loss: 10.4232 | epoch: 98/20000 | score: 42 | time left: 1 day, 8:31:23 | avg_q: 8.3069 | epsilon: 0.95 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:09:36 | 
loss: 13.8676 | epoch: 99/20000 | score: 42 | time left: 1 day, 8:28:15 | avg_q: 7.9325 | epsilon: 0.95 | reward: -89 | avg time per epoch: 0:00:05 | time elapsed: 0:09:41 | 
