loss: 2.1959 | epoch: 73/20000 | score: 49 | time left: 1 day, 9:00:04 | avg_q: 15.4009 | epsilon: 1.0 | reward: -91 | avg time per epoch: 0:00:05 | time elapsed: 0:07:21 | 
loss: 0.4919 | epoch: 74/20000 | score: 41 | time left: 1 day, 8:55:30 | avg_q: 16.4874 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:07:26 | 
loss: 0.5137 | epoch: 75/20000 | score: 41 | time left: 1 day, 8:50:21 | avg_q: 19.6180 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:05 | time elapsed: 0:07:30 | 
loss: 0.8527 | epoch: 76/20000 | score: 51 | time left: 1 day, 8:49:51 | avg_q: 15.8782 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:05 | time elapsed: 0:07:36 | 
loss: 2.5554 | epoch: 77/20000 | score: 50 | time left: 1 day, 8:48:40 | avg_q: 18.5942 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:05 | time elapsed: 0:07:42 | 
loss: 2.5221 | epoch: 78/20000 | score: 115 | time left: 1 day, 9:15:55 | avg_q: 15.9975 | epsilon: 1.0 | reward: -110 | avg time per epoch: 0:00:06 | time elapsed: 0:07:54 | 
loss: 0.4241 | epoch: 79/20000 | score: 41 | time left: 1 day, 9:10:44 | avg_q: 18.1517 | epsilon: 1.0 | reward: -99 | avg time per epoch: 0:00:05 | time elapsed: 0:07:59 | 
loss: 6.4136 | epoch: 80/20000 | score: 48 | time left: 1 day, 9:08:46 | avg_q: 19.2320 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:05 | time elapsed: 0:08:05 | 
loss: 4.1793 | epoch: 81/20000 | score: 50 | time left: 1 day, 9:08:20 | avg_q: 19.7122 | epsilon: 1.0 | reward: -105 | avg time per epoch: 0:00:05 | time elapsed: 0:08:11 | 
loss: 6.1164 | epoch: 82/20000 | score: 51 | time left: 1 day, 9:07:40 | avg_q: 17.5748 | epsilon: 1.0 | reward: -104 | avg time per epoch: 0:00:05 | time elapsed: 0:08:16 | 
loss: 0.6741 | epoch: 83/20000 | score: 74 | time left: 1 day, 9:16:33 | avg_q: 20.6079 | epsilon: 1.0 | reward: -100 | avg time per epoch: 0:00:06 | time elapsed: 0:08:25 | 
loss: 2.5332 | epoch: 84/20000 | score: 70 | time left: 1 day, 9:24:05 | avg_q: 18.0286 | epsilon: 1.0 | reward: -98 | avg time per epoch: 0:00:06 | time elapsed: 0:08:33 | 
loss: 2.2439 | epoch: 85/20000 | score: 43 | time left: 1 day, 9:19:52 | avg_q: 19.7096 | epsilon: 1.0 | reward: -92 | avg time per epoch: 0:00:06 | time elapsed: 0:08:38 | 
loss: 2.6056 | epoch: 86/20000 | score: 51 | time left: 1 day, 9:19:04 | avg_q: 16.1982 | epsilon: 1.0 | reward: -112 | avg time per epoch: 0:00:06 | time elapsed: 0:08:44 | 
loss: 2.8754 | epoch: 87/20000 | score: 62 | time left: 1 day, 9:22:44 | avg_q: 19.3430 | epsilon: 1.0 | reward: -108 | avg time per epoch: 0:00:06 | time elapsed: 0:08:51 | 
loss: 2.5101 | epoch: 88/20000 | score: 61 | time left: 1 day, 9:25:51 | avg_q: 16.2638 | epsilon: 1.0 | reward: -109 | avg time per epoch: 0:00:06 | time elapsed: 0:08:57 | 
loss: 2.5657 | epoch: 89/20000 | score: 41 | time left: 1 day, 9:21:10 | avg_q: 18.7021 | epsilon: 1.0 | reward: -101 | avg time per epoch: 0:00:06 | time elapsed: 0:09:02 | 
loss: 2.3607 | epoch: 90/20000 | score: 42 | time left: 1 day, 9:17:11 | avg_q: 18.9628 | epsilon: 1.0 | reward: -94 | avg time per epoch: 0:00:06 | time elapsed: 0:09:07 | 
loss: 2.3630 | epoch: 91/20000 | score: 42 | time left: 1 day, 9:14:01 | avg_q: 19.4411 | epsilon: 1.0 | reward: -102 | avg time per epoch: 0:00:06 | time elapsed: 0:09:12 | 
loss: 2.3729 | epoch: 92/20000 | score: 41 | time left: 1 day, 9:09:37 | avg_q: 20.7479 | epsilon: 1.0 | reward: -97 | avg time per epoch: 0:00:05 | time elapsed: 0:09:17 | 
loss: 4.2198 | epoch: 93/20000 | score: 108 | time left: 1 day, 9:29:39 | avg_q: 18.0950 | epsilon: 1.0 | reward: -103 | avg time per epoch: 0:00:06 | time elapsed: 0:09:29 | 
